20	100
16 39	69 8	7 15	99 6	40 19	8 98	13 96	66 45	70 14	42 93	11 44	38 65	89 38	47 89	58 90	71 10	88 79	4 66	91 14	32 29	82 20	30 29	79 82	55 11	61 64	85 19	93 58	15 45	6 56	64 89	78 46	29 78	10 18	14 47	76 39	44 75	1 92	17 13	26 89	5 66	54 12	75 8	57 60	59 71	31 51	22 78	12 88	36 53	34 1	9 68	33 71	95 12	19 44	74 8	3 41	63 70	0 45	83 32	68 17	84 77	92 98	48 89	39 40	51 28	21 52	52 96	23 21	50 56	94 51	98 87	62 75	87 69	96 74	37 82	27 32	65 28	90 93	2 42	97 33	56 59	86 50	73 38	60 64	77 92	43 31	41 45	80 30	35 46	49 80	24 85	45 97	28 50	53 46	67 69	72 78	46 16	25 8	18 79	20 41	81 64
84 48	65 36	31 82	73 59	71 69	72 54	80 50	4 94	96 64	41 27	35 39	26 31	93 17	18 29	20 97	87 89	15 62	90 64	94 80	16 29	88 55	75 41	38 63	74 96	34 13	95 96	49 49	14 8	78 62	76 96	2 85	91 72	67 29	92 78	6 29	17 90	43 85	81 76	66 21	39 21	82 11	33 28	0 74	62 67	53 80	56 15	50 27	29 37	1 94	10 97	45 17	44 16	23 12	89 2	97 17	54 19	37 60	12 32	64 97	8 97	59 60	36 87	32 46	52 48	28 96	5 65	3 47	86 95	79 82	68 71	27 83	99 56	63 22	83 99	60 54	21 19	42 10	61 63	11 57	22 46	7 6	98 81	24 30	9 28	55 77	19 18	85 13	46 28	70 45	13 72	47 61	25 45	58 91	40 73	51 25	57 29	30 35	77 18	69 57	48 1
12 29	56 69	49 38	65 26	44 29	57 10	53 44	80 2	68 10	28 54	89 59	10 86	85 80	6 87	33 94	46 35	54 27	21 92	82 25	7 53	83 10	77 27	2 80	41 46	79 71	0 14	38 25	96 21	26 15	13 39	51 10	99 68	61 35	73 54	48 6	23 92	75 73	78 68	63 55	36 2	74 85	91 49	40 79	98 63	18 91	45 9	3 54	97 9	55 32	86 21	64 51	70 49	94 84	16 44	37 74	22 51	69 36	1 91	59 96	5 14	14 43	15 50	95 80	60 38	52 17	42 46	17 88	92 31	84 69	62 94	43 99	25 54	88 30	87 21	67 17	47 42	93 77	71 70	9 98	20 42	27 78	72 90	31 2	58 89	11 11	4 69	35 30	24 6	8 97	34 9	90 47	66 19	76 83	39 52	19 61	29 10	32 21	50 97	81 35	30 37
93 33	22 89	90 25	39 20	43 94	31 78	72 38	6 97	52 89	46 66	76 51	63 43	99 5	40 94	67 59	19 19	89 90	81 23	8 44	50 31	48 71	59 51	80 68	32 76	18 86	61 42	82 72	85 32	11 59	34 49	20 15	16 74	95 92	55 71	23 40	14 37	33 11	24 83	75 27	69 90	78 2	17 77	51 28	53 1	7 92	65 4	54 19	10 67	12 74	98 46	97 63	92 76	13 67	29 36	27 16	96 15	45 9	86 10	70 55	26 81	87 77	9 65	68 53	2 44	42 74	88 34	84 53	37 60	62 87	35 48	38 31	74 33	66 4	60 12	77 50	21 94	4 63	71 17	47 95	30 88	41 83	28 88	73 49	25 94	0 88	56 38	1 8	3 64	15 36	49 89	94 59	91 2	36 80	79 10	83 73	5 5	44 90	57 41	64 17	58 72
15 19	82 7	38 1	21 3	62 25	23 38	88 97	83 67	30 84	79 39	42 95	68 33	2 38	31 29	74 95	18 85	14 65	46 78	45 33	5 40	48 60	66 93	55 31	81 46	61 59	57 80	16 7	54 50	47 43	39 45	94 77	95 20	78 40	28 49	97 16	92 72	75 10	29 41	59 85	27 75	12 71	43 24	98 79	26 79	90 11	60 83	32 7	1 25	37 76	44 11	25 60	73 32	67 19	53 50	13 47	35 36	58 38	7 69	36 91	89 56	8 6	91 77	69 67	99 31	20 87	40 10	80 73	0 9	49 33	56 46	41 7	19 25	34 21	72 59	9 97	24 12	63 55	51 56	22 57	64 97	77 85	71 15	87 17	6 53	3 27	93 40	70 66	96 75	17 16	86 4	4 58	50 12	11 15	84 34	65 36	52 74	85 21	10 10	33 50	76 24
28 33	5 21	36 37	3 10	58 60	85 93	65 73	71 25	45 64	64 86	91 47	99 40	90 30	72 56	52 2	63 44	19 46	83 20	79 23	26 10	16 35	14 81	55 57	31 39	9 39	7 94	62 5	68 88	37 46	40 64	66 63	18 27	56 91	81 58	77 26	4 32	97 99	87 79	69 45	29 95	93 90	23 24	89 34	43 80	41 14	12 59	82 29	27 63	35 82	30 18	34 57	94 82	42 84	17 91	6 62	2 86	46 46	98 68	86 87	13 60	96 12	1 51	70 91	80 98	95 39	10 92	49 99	20 78	75 55	38 56	60 9	0 44	32 11	78 4	15 69	47 7	92 97	44 5	54 35	88 49	21 85	57 85	61 16	84 31	24 87	51 77	59 68	11 82	67 38	50 18	25 94	48 7	76 8	22 16	39 67	33 55	74 65	8 27	53 43	73 17
46 76	50 16	68 10	74 50	10 14	79 37	16 5	71 72	29 60	0 57	84 89	58 22	5 96	1 28	60 41	92 62	25 83	72 39	47 23	75 92	14 54	21 99	44 19	17 39	62 41	99 38	65 23	98 23	45 9	40 46	49 15	88 22	24 57	85 87	39 22	89 96	54 5	35 28	12 88	33 31	94 18	28 43	42 60	83 73	15 60	48 1	41 60	59 84	9 23	18 46	95 27	73 80	7 24	34 12	3 22	20 82	52 81	97 65	57 57	70 87	56 24	91 81	43 8	2 20	66 91	81 95	69 56	27 43	51 72	76 91	90 98	23 80	31 27	61 52	96 18	87 64	26 68	13 5	63 57	8 54	67 78	11 19	32 97	4 6	78 13	19 73	82 5	53 66	22 92	80 27	38 50	77 69	30 38	6 2	64 47	86 9	93 84	55 91	36 12	37 81
45 33	34 38	42 10	65 79	44 70	53 44	12 91	20 92	25 94	50 76	38 15	81 64	93 24	59 83	31 13	68 69	70 29	16 51	63 11	87 51	22 30	94 15	80 14	86 75	61 69	69 59	54 64	97 15	5 85	10 77	9 45	28 22	19 76	51 94	40 23	41 83	26 19	56 64	89 86	96 24	76 71	74 68	60 73	64 32	3 40	32 35	49 42	82 81	79 76	62 29	75 30	24 97	48 52	35 27	33 39	73 54	27 85	78 87	37 89	43 56	29 29	6 80	13 7	95 85	99 87	1 46	14 62	91 35	57 46	83 54	72 65	52 54	2 32	17 61	55 55	47 18	0 63	4 65	15 88	77 90	21 81	36 71	90 4	46 64	8 91	39 78	71 80	18 69	92 46	23 81	98 56	30 28	11 31	84 62	67 91	7 70	66 62	88 94	58 82	85 57
76 33	5 69	10 68	81 92	57 71	7 91	11 68	9 8	22 63	30 76	87 92	98 18	60 47	70 89	15 52	44 20	28 85	51 57	65 71	6 38	47 31	46 42	93 24	37 90	84 86	14 31	88 16	17 12	78 92	52 99	61 39	91 46	54 36	83 32	13 16	50 67	95 59	42 77	31 7	55 37	77 72	80 4	39 35	34 95	4 65	18 62	96 25	85 97	8 2	69 76	73 65	68 17	82 83	86 40	26 72	41 86	3 82	2 7	72 80	63 57	29 24	36 98	74 18	56 14	0 78	62 70	35 96	90 96	19 82	48 95	1 34	79 41	89 64	12 32	49 91	71 55	32 74	97 33	43 67	99 61	92 24	66 80	45 86	24 80	25 36	33 47	20 74	67 93	58 25	94 15	21 70	27 10	64 35	23 30	53 60	40 52	38 81	16 18	75 54	59 99
24 35	70 83	6 58	44 82	92 49	17 27	89 58	93 11	87 62	58 10	90 38	0 64	67 25	96 64	91 54	46 72	11 41	57 77	35 99	16 55	25 75	52 33	86 42	76 16	40 66	56 17	22 34	45 61	43 80	42 19	75 29	78 66	69 45	32 98	15 33	85 80	82 89	74 33	80 7	8 99	29 49	23 35	13 75	63 81	97 90	48 34	68 64	64 83	65 46	79 81	18 89	54 72	50 45	77 74	60 60	88 2	39 5	71 70	73 42	53 50	30 25	14 50	84 77	59 51	37 80	5 8	33 40	49 6	83 22	62 51	47 74	36 97	99 69	41 94	4 26	51 12	12 49	28 37	38 47	61 76	10 68	66 94	1 66	9 61	34 74	21 59	7 10	94 49	27 81	55 7	98 20	19 68	3 73	2 13	31 65	95 92	20 38	81 6	72 8	26 10
42 59	76 24	83 89	28 86	58 43	73 53	7 4	89 85	26 17	84 98	74 28	47 76	20 13	80 26	99 41	97 55	88 98	15 41	96 23	85 40	95 89	40 21	14 67	36 78	51 15	92 23	49 70	45 95	9 58	41 14	23 64	69 84	72 38	0 32	91 77	68 87	48 61	44 69	57 9	43 83	3 11	19 25	18 82	39 29	38 42	2 17	98 88	35 25	30 78	50 45	22 56	4 26	65 28	82 62	12 13	31 35	33 79	75 70	10 46	61 77	93 83	63 12	6 94	90 29	29 6	78 40	77 25	17 45	87 37	60 36	46 96	1 56	52 98	8 41	55 51	66 69	94 88	64 8	27 10	71 67	34 53	37 7	24 61	32 81	54 47	86 43	11 18	67 69	25 12	79 13	59 82	21 29	13 48	5 7	81 62	62 38	70 33	53 57	16 25	56 12
