40	10
7 26	0 78	4 46	2 10	1 24	6 69	9 22	8 95	5 51	3 30
7 28	0 43	1 2	2 11	3 63	8 68	5 35	6 74	9 31	4 89
2 34	9 54	5 7	1 21	7 3	4 40	0 90	6 99	3 44	8 83
9 55	5 91	4 82	0 17	3 15	1 7	6 57	2 74	7 96	8 27
1 17	6 18	0 48	3 95	5 36	7 6	2 13	9 30	4 96	8 40
7 67	6 82	4 10	0 1	9 73	3 90	8 14	2 47	1 16	5 36
3 14	4 76	9 41	5 14	7 11	2 99	0 77	6 80	8 27	1 95
6 3	4 42	1 39	5 87	7 12	0 20	9 86	3 89	2 22	8 16
7 5	1 12	2 61	6 54	0 85	3 11	8 95	4 11	5 72	9 14
7 47	1 65	4 34	8 72	5 64	0 23	6 84	9 94	2 40	3 91
9 24	7 47	1 10	8 91	6 17	3 9	0 32	4 11	2 63	5 4
3 52	7 20	1 69	8 16	2 1	6 44	0 27	5 98	4 46	9 44
8 72	4 35	0 46	5 73	6 6	3 59	1 87	9 71	7 84	2 30
4 77	7 42	3 69	5 73	2 4	0 95	9 95	1 59	6 46	8 18
9 81	5 35	6 2	1 91	4 63	8 64	3 93	7 23	0 25	2 98
3 31	6 79	2 54	5 79	1 48	9 19	8 88	0 61	7 76	4 18
4 95	9 46	1 89	0 39	3 59	2 42	8 45	6 73	5 87	7 46
1 65	3 2	0 94	9 81	2 38	6 75	7 7	5 61	8 55	4 37
5 1	6 27	0 11	7 78	9 67	1 97	8 43	2 44	3 66	4 94
6 74	4 58	7 99	3 69	5 41	1 47	2 39	9 39	8 36	0 3
9 82	2 86	5 85	1 34	4 98	3 43	7 88	8 57	6 68	0 39
0 50	9 98	3 60	6 72	5 85	2 49	7 40	8 32	4 26	1 62
3 85	8 35	7 49	2 62	4 42	6 20	9 58	0 46	5 89	1 95
3 87	4 1	5 33	8 47	7 93	2 55	0 39	9 91	6 98	1 14
7 77	5 71	3 17	2 7	4 78	6 63	1 79	9 75	0 79	8 70
5 45	6 78	0 95	1 2	7 60	4 51	9 90	3 34	2 74	8 58
1 39	5 11	3 2	7 17	6 96	8 53	9 29	0 20	2 4	4 87
4 31	0 93	2 22	8 97	9 17	7 39	6 96	1 68	3 17	5 49
7 92	4 68	6 95	9 47	3 85	0 89	5 42	2 84	8 56	1 42
9 90	4 69	1 76	8 86	3 97	2 25	7 6	0 45	6 7	5 80
0 52	6 24	1 95	5 2	3 1	7 26	2 37	8 61	4 10	9 49
8 3	6 30	4 33	7 29	3 4	2 52	0 8	5 69	9 28	1 86
4 77	3 72	5 1	8 27	9 23	6 58	1 54	0 3	2 3	7 51
1 37	0 42	8 58	3 45	5 25	4 7	6 41	9 94	7 52	2 70
2 55	3 79	8 13	5 49	7 21	4 17	0 8	9 75	6 57	1 75
0 92	2 76	3 87	8 63	7 36	1 2	6 82	4 84	5 19	9 89
5 97	6 30	3 89	7 23	0 12	4 45	1 17	2 51	9 56	8 87
7 43	6 76	8 64	9 56	2 50	1 13	5 31	3 93	0 21	4 66
3 18	0 5	5 24	7 51	1 59	6 28	8 52	4 64	9 3	2 49
9 48	6 65	8 8	5 21	4 45	2 17	1 43	3 28	7 15	0 20
