90	20
13 5	1 2	12 61	4 14	17 56	2 27	18 61	14 9	0 17	6 73	16 67	8 14	15 66	9 84	11 66	3 38	7 41	5 77	19 4	10 2
1 50	7 4	10 42	5 43	0 45	8 40	12 35	4 74	6 57	13 31	17 81	3 27	19 72	15 10	14 73	9 37	18 18	16 92	2 76	11 52
8 61	11 22	0 56	14 86	12 25	16 28	10 66	6 24	4 32	2 9	3 28	17 26	7 48	9 50	15 27	19 1	5 78	1 87	18 35	13 94
18 63	16 75	5 27	19 1	2 6	11 3	7 85	0 11	8 22	1 8	12 67	9 40	3 89	10 30	14 87	17 57	4 13	13 4	6 20	15 95
3 64	7 90	19 62	16 97	9 41	1 80	4 26	6 61	11 50	10 86	18 59	15 76	5 74	13 21	8 13	12 24	2 42	14 79	0 26	17 28
5 22	1 68	16 22	10 48	8 57	17 90	19 4	14 21	7 7	12 19	13 46	18 53	11 39	2 72	3 64	4 33	15 13	6 63	9 9	0 20
5 78	14 92	4 45	1 25	11 71	2 4	0 3	15 9	7 23	17 11	16 12	10 75	8 75	18 9	3 74	9 18	12 28	13 91	19 79	6 29
11 35	12 72	15 96	18 52	5 1	19 75	9 61	0 75	16 71	17 52	10 16	1 18	13 96	8 21	14 7	4 19	6 76	3 99	2 32	7 88
13 33	8 62	19 11	6 91	17 37	11 10	2 50	7 23	14 42	12 51	4 25	18 26	0 47	10 39	5 16	9 14	16 2	3 31	15 43	1 18
5 55	3 45	1 1	14 61	8 85	18 95	13 80	0 49	2 31	10 58	4 70	11 96	7 88	9 67	12 29	15 61	17 82	6 76	16 84	19 91
12 25	17 72	1 21	4 89	8 54	16 74	9 2	5 99	18 37	7 65	15 62	3 68	10 9	2 16	6 9	0 36	19 93	14 87	13 41	11 63
9 58	17 34	1 64	7 69	19 93	3 95	6 73	10 2	12 9	15 43	5 63	13 13	8 49	14 10	16 36	18 81	0 58	2 63	4 83	11 2
2 99	16 62	18 27	11 21	3 89	5 45	13 14	8 93	14 84	10 93	19 81	0 54	12 75	7 63	1 7	4 74	9 40	15 36	17 3	6 39
7 52	0 75	10 72	18 78	11 43	14 9	1 40	3 48	15 23	8 44	12 70	6 41	13 80	19 42	4 81	16 58	5 44	17 32	9 26	2 47
3 93	8 44	17 82	15 73	19 22	9 30	6 40	10 98	16 22	18 39	11 29	14 19	2 43	5 42	1 36	13 95	7 95	12 26	4 29	0 23
1 47	19 8	16 41	10 84	11 10	0 47	3 23	13 4	8 98	4 11	6 65	12 46	14 69	5 69	7 87	2 32	18 82	9 68	15 66	17 95
7 47	19 18	18 1	9 29	11 83	4 70	6 91	3 69	1 41	17 71	13 52	8 64	16 52	0 4	5 10	14 30	10 64	15 99	12 98	2 36
10 51	9 73	15 72	13 14	0 46	8 17	16 5	4 39	3 63	11 69	6 48	19 20	18 84	5 79	14 75	17 54	12 65	1 21	2 73	7 21
14 89	4 62	9 43	19 8	13 82	16 59	7 53	8 4	1 93	2 73	17 11	6 16	15 48	3 72	0 51	18 74	12 3	11 5	5 5	10 68
2 73	9 16	17 91	13 24	7 92	8 68	12 93	3 70	18 14	4 1	14 32	19 21	10 37	15 19	1 74	6 67	11 17	5 24	0 55	16 26
2 79	7 72	3 29	10 95	19 25	4 30	12 23	8 27	17 75	11 24	18 92	6 97	16 33	0 98	9 98	15 81	5 88	1 22	13 50	14 16
11 11	7 87	17 73	9 13	19 8	13 49	18 6	14 15	2 89	0 73	16 28	1 11	10 45	4 94	6 72	15 84	3 59	5 33	12 56	8 3
6 21	14 74	11 19	9 61	12 3	4 48	2 10	5 82	8 76	18 17	1 10	15 46	0 85	10 59	3 44	16 95	19 83	7 1	17 87	13 59
0 34	1 35	17 70	6 52	5 78	11 1	19 61	7 5	3 21	14 56	10 87	16 41	2 52	13 96	15 6	18 5	4 32	8 76	12 73	9 3
9 80	6 45	2 23	18 16	13 98	10 73	14 58	7 85	15 18	1 56	8 97	4 41	11 66	16 87	3 5	19 59	17 63	5 16	12 88	0 71
16 73	12 41	9 63	10 34	18 38	6 19	1 55	14 88	13 11	17 29	11 78	0 79	5 3	2 47	4 19	15 54	8 5	3 65	7 38	19 3
13 65	3 44	19 46	10 87	8 8	2 32	9 74	4 20	11 16	12 15	0 8	7 75	5 39	16 32	1 68	14 27	15 34	17 49	6 1	18 69
16 26	6 74	17 98	0 72	13 92	7 70	8 77	5 29	1 63	3 42	10 39	9 70	11 38	14 32	19 8	12 94	4 20	15 86	2 54	18 9
17 89	18 91	12 49	6 68	13 72	9 79	14 28	16 98	10 91	4 56	2 59	1 98	5 7	11 34	19 77	7 14	8 69	0 38	3 30	15 97
13 14	2 82	14 78	9 28	3 86	1 81	12 53	4 81	11 43	7 99	0 85	8 7	17 92	15 5	19 62	6 86	10 63	18 29	16 8	5 1
16 84	7 62	8 12	14 72	2 37	6 97	9 27	18 26	10 12	4 70	0 35	1 17	13 1	12 6	19 62	5 51	3 18	11 27	15 60	17 20
15 94	3 13	17 97	0 95	6 46	11 83	7 71	12 27	8 3	9 90	19 45	16 60	10 42	2 24	14 2	13 96	5 99	1 94	18 51	4 87
