100	70
47 40	48 30	45 42	4 16	3 50	46 40	13 84	24 44	16 66	44 93	30 91	28 79	65 55	54 10	7 36	52 96	58 47	67 72	57 28	19 18	38 88	22 18	39 81	15 68	25 35	50 94	10 73	21 35	40 53	36 24	14 2	63 16	9 84	49 4	33 23	8 45	37 46	31 35	53 51	61 35	56 61	32 32	0 57	66 95	26 89	5 24	60 10	51 83	1 91	64 82	29 25	27 67	12 68	23 60	59 1	62 22	6 49	69 13	34 19	20 29	42 20	35 67	41 34	18 15	43 27	11 79	68 76	17 12	55 70	2 86
34 62	4 75	61 77	54 36	7 84	1 60	51 95	58 46	35 55	26 81	8 46	65 44	9 71	45 33	41 27	29 36	0 46	56 91	64 72	50 32	27 50	57 13	67 69	68 96	18 81	21 42	24 24	44 20	19 3	55 97	28 98	48 66	59 30	25 61	32 52	3 35	49 9	12 61	33 5	2 31	30 31	52 35	13 78	40 91	17 39	14 52	42 56	15 51	43 47	66 66	5 51	31 2	53 37	22 36	69 87	20 27	37 60	36 37	6 45	38 36	16 89	63 74	62 5	11 21	46 35	23 70	10 22	60 43	47 57	39 37
69 86	7 59	22 79	49 49	29 85	57 87	35 80	20 11	41 14	44 31	25 71	67 18	43 99	1 52	61 60	46 30	2 71	26 20	3 30	31 47	66 94	65 15	58 60	18 49	16 75	51 55	60 76	50 66	30 23	37 7	52 88	55 62	6 70	47 12	59 8	68 27	27 73	32 23	13 69	42 41	63 23	28 64	10 32	15 15	21 52	24 53	5 96	0 58	56 41	38 63	19 1	23 71	64 38	39 3	40 10	36 54	45 6	12 62	33 74	17 4	34 60	9 16	4 62	8 99	53 95	48 51	14 69	11 22	54 39	62 24
39 93	2 18	60 94	66 8	64 55	35 57	30 69	47 7	10 51	59 32	58 50	57 96	55 23	23 32	17 80	27 29	65 24	50 91	25 27	32 76	44 38	34 36	48 29	4 47	28 28	31 34	42 13	63 16	61 25	37 12	6 80	24 33	51 77	16 86	40 50	5 47	29 4	52 62	22 82	68 64	62 3	36 20	3 17	0 42	8 27	43 47	56 49	53 83	20 89	12 93	9 81	26 26	69 95	21 13	49 44	33 93	13 9	38 6	1 20	19 77	15 85	46 17	67 2	7 12	54 52	45 49	11 5	18 29	41 25	14 2
36 37	41 78	58 84	50 39	46 87	28 39	35 56	38 77	51 45	68 54	32 45	7 14	1 9	33 27	64 80	18 23	55 3	25 15	67 59	56 49	43 83	45 84	37 52	17 41	22 7	29 33	34 16	19 96	53 26	69 16	44 79	39 96	62 33	47 61	52 77	48 13	6 42	2 27	10 29	24 40	8 42	31 20	54 38	26 21	15 58	59 63	23 49	21 63	65 52	57 4	14 42	3 94	11 96	27 62	66 94	4 26	61 95	60 10	63 37	16 54	12 50	13 97	49 7	42 57	0 37	20 47	30 25	9 89	40 1	5 78
49 74	69 66	30 70	44 98	28 97	1 6	36 91	57 38	20 17	50 28	68 93	46 60	25 44	66 82	16 83	60 19	53 51	0 47	42 64	52 24	22 84	47 5	21 21	4 99	67 69	38 72	54 93	27 36	33 75	29 11	34 99	31 71	39 2	15 38	35 78	2 76	58 1	41 29	61 63	18 39	62 62	3 23	45 50	63 92	40 1	13 88	51 62	55 49	9 59	6 96	5 20	64 86	24 67	32 99	10 53	19 46	14 26	48 34	17 58	43 87	7 3	37 25	26 7	12 33	11 46	65 70	23 87	59 20	56 7	8 7
39 77	38 55	29 12	19 55	6 18	61 12	46 20	26 7	11 72	31 82	55 57	49 16	10 55	64 24	24 10	69 99	65 27	51 2	66 47	12 33	58 35	21 51	63 30	36 75	57 4	28 14	68 72	2 69	13 61	22 41	53 55	33 21	52 72	23 83	9 87	42 96	5 57	4 7	7 88	1 11	43 53	34 83	16 52	47 60	48 80	67 59	20 45	54 87	35 67	59 68	41 3	60 24	17 13	27 68	14 89	45 54	44 16	32 66	3 54	30 35	15 27	18 34	62 8	25 39	8 20	50 40	0 17	56 16	40 64	37 58
29 28	1 48	65 24	0 67	42 19	28 62	51 43	27 94	12 78	18 8	64 65	25 92	53 75	60 79	7 62	32 25	17 11	10 12	55 90	9 35	44 83	11 54	52 76	38 94	58 51	2 31	6 44	23 7	36 86	21 38	3 67	16 44	68 58	8 91	22 85	4 57	5 97	37 48	30 49	33 25	49 42	24 11	46 10	39 53	63 17	62 73	19 71	56 84	45 62	57 44	69 48	13 19	47 44	41 4	20 8	50 64	31 66	66 11	34 18	14 59	40 22	26 4	48 76	59 30	54 23	15 47	67 32	35 6	43 43	61 60
49 41	24 5	31 24	2 84	1 29	33 36	43 93	7 83	60 65	48 32	17 11	30 41	22 58	36 25	32 75	39 21	35 55	20 22	47 29	63 48	0 8	12 66	28 26	40 90	23 5	64 60	25 46	5 66	69 6	8 64	52 86	4 82	51 51	54 48	10 97	61 53	38 18	53 73	11 47	26 22	55 55	50 40	58 53	68 18	15 75	18 18	59 73	27 43	41 39	42 45	44 89	45 95	9 98	37 77	16 91	21 35	67 37	66 57	34 17	65 24	14 58	19 58	3 12	46 48	6 96	62 55	57 97	29 30	13 63	56 47
30 93	11 5	15 70	69 97	52 44	0 46	68 10	58 75	33 71	27 23	42 23	9 71	25 65	57 26	20 95	47 11	35 3	17 43	22 36	65 51	54 89	36 3	34 82	51 33	61 73	13 34	39 84	5 10	53 3	67 58	55 95	8 91	46 9	64 17	32 52	6 99	37 8	43 85	40 31	44 52	23 33	31 92	49 78	7 78	48 8	2 89	10 78	24 74	12 88	50 33	38 64	19 58	62 96	16 53	45 62	56 49	66 65	63 47	59 15	4 64	60 30	14 29	21 90	29 65	26 78	18 85	41 89	3 99	28 93	1 15
56 59	34 37	29 22	47 97	17 67	61 87	52 27	63 90	53 13	2 52	15 91	66 52	27 31	46 23	12 70	16 35	14 37	65 30	3 22	32 92	23 69	5 18	31 15	20 2	13 2	30 66	0 55	10 75	36 74	45 12	19 74	50 69	41 13	67 88	28 70	25 66	9 18	33 87	21 74	60 41	62 55	1 91	8 2	42 20	38 58	44 41	55 75	37 92	7 46	6 26	22 93	24 73	69 96	18 21	43 3	57 27	51 14	35 38	48 20	4 98	64 49	40 14	58 41	54 78	26 1	11 74	59 31	39 60	68 67	49 95
