10	20
15 190	1 175	10 81	4 1	3 114	18 31	11 131	12 11	5 157	6 19	13 80	7 1	17 120	2 198	14 108	0 156	8 183	9 9	16 177	19 64
15 39	19 104	16 169	10 38	4 104	9 46	12 61	8 109	17 191	13 121	2 94	18 101	3 146	11 133	0 101	6 179	7 65	14 165	1 78	5 181
18 16	8 183	3 142	13 17	6 23	15 144	11 6	2 199	5 123	17 92	16 199	4 86	9 41	14 135	12 153	1 35	19 34	7 189	10 125	0 141
14 176	0 112	13 164	8 130	15 129	10 62	3 107	5 23	18 122	19 160	11 155	17 180	16 23	1 88	2 200	12 61	6 74	4 60	7 53	9 100
2 101	12 101	3 12	13 129	18 19	0 102	5 126	17 129	6 137	1 107	15 165	11 160	14 198	9 148	8 125	19 16	10 27	4 167	7 149	16 116
8 68	14 103	6 68	5 34	4 194	7 107	13 11	12 33	17 187	10 84	2 184	16 190	18 39	15 14	0 12	3 106	19 93	11 120	1 194	9 191
6 107	13 39	10 98	19 129	8 83	17 184	4 133	11 36	18 166	1 41	16 96	12 112	0 197	2 112	3 25	9 185	15 40	14 147	7 175	5 32
10 75	9 45	12 187	5 32	2 59	7 3	1 86	13 94	19 105	14 147	11 63	15 19	6 42	18 133	17 157	4 129	16 113	8 33	3 185	0 69
5 53	17 42	10 73	19 84	2 53	9 187	6 189	15 190	3 112	0 90	14 119	7 104	4 42	13 177	16 36	12 84	8 190	11 24	18 125	1 172
19 76	0 194	17 112	16 191	15 74	7 63	12 35	18 110	8 124	14 133	2 131	1 131	11 60	5 84	4 47	10 183	3 194	6 134	13 175	9 29
