40	10
0 35	6 11	5 91	4 99	7 16	8 117	3 134	1 76	9 156	2 65
6 191	5 182	0 39	1 61	8 93	4 130	3 149	7 84	9 179	2 105
6 112	3 103	2 33	7 23	5 53	9 189	1 93	0 167	4 53	8 151
1 161	6 99	5 100	4 168	0 59	2 84	8 123	9 123	7 199	3 12
7 136	1 125	2 31	5 49	0 71	4 165	6 184	8 194	3 28	9 104
7 111	6 11	8 102	4 73	5 9	1 107	9 21	2 102	3 54	0 181
9 162	8 177	3 106	2 134	0 160	1 165	4 50	7 52	6 31	5 181
9 40	6 70	0 108	1 123	2 143	7 159	3 167	5 49	4 139	8 83
8 144	6 160	0 35	4 183	7 50	3 98	1 64	9 31	2 15	5 97
7 107	8 57	6 24	5 69	0 192	2 172	4 141	3 173	1 75	9 195
2 56	0 84	3 149	1 90	4 110	9 35	7 169	5 99	6 1	8 143
2 34	1 112	5 86	7 156	4 181	6 17	3 35	9 200	0 44	8 33
5 175	6 185	7 191	1 194	3 150	9 13	8 77	4 64	0 167	2 33
4 123	9 127	2 3	6 169	1 180	8 33	7 121	3 103	0 53	5 18
0 25	9 55	2 59	5 59	7 151	8 19	6 130	4 175	3 94	1 188
3 22	9 43	7 146	0 83	1 161	6 34	2 103	8 108	5 186	4 198
6 38	7 31	4 150	2 58	1 54	0 6	5 25	9 190	3 110	8 127
7 17	4 143	6 120	1 174	3 22	0 52	8 173	5 63	2 11	9 191
0 145	6 162	9 16	5 190	2 135	3 36	8 164	4 150	7 85	1 95
1 7	5 121	9 188	6 185	2 176	8 55	7 135	0 16	4 47	3 54
8 163	2 153	5 130	9 113	3 179	6 134	1 180	4 200	0 172	7 124
8 184	0 9	5 79	4 119	2 166	9 181	6 12	7 115	3 108	1 159
1 196	4 143	5 122	0 94	8 36	3 41	9 50	7 199	6 45	2 8
2 129	5 179	0 152	6 151	4 161	8 27	1 117	7 20	9 73	3 155
7 47	9 50	8 27	3 77	0 144	4 133	6 181	5 122	2 52	1 67
8 176	1 189	3 18	0 193	2 190	5 177	7 159	6 182	9 117	4 120
8 135	5 108	2 6	7 10	6 60	1 50	3 12	4 114	9 145	0 19
6 66	4 80	5 156	9 19	8 136	0 142	1 39	3 11	2 13	7 16
2 70	5 154	8 165	4 134	7 128	6 166	3 80	1 148	0 102	9 131
2 192	8 190	3 168	1 116	0 186	6 26	7 100	9 175	5 119	4 52
8 38	7 58	5 47	0 43	2 64	1 139	3 131	6 129	4 32	9 98
1 10	7 34	2 27	0 116	5 15	6 29	8 154	3 40	9 177	4 75
6 47	7 117	5 160	2 73	4 47	0 83	1 137	8 9	3 104	9 127
0 130	3 2	5 118	1 171	4 50	2 122	6 178	9 123	8 163	7 160
8 106	5 49	4 160	2 39	0 197	1 62	3 154	6 120	7 106	9 131
2 23	6 157	5 116	7 132	4 118	3 140	1 187	9 73	0 33	8 80
2 196	5 102	4 105	0 182	9 72	6 66	1 87	3 119	7 24	8 151
5 190	6 178	0 74	1 62	7 79	9 74	2 151	4 43	8 21	3 6
7 108	3 84	5 51	2 128	0 167	1 111	8 128	9 87	4 61	6 66
2 191	7 131	8 116	5 25	1 11	3 20	0 63	6 129	4 101	9 120
