40	15
0 183	1 8	3 149	9 145	4 60	11 17	10 121	14 115	8 139	6 126	13 119	12 141	7 103	2 98	5 155
4 152	1 149	13 25	9 59	0 122	14 45	5 175	2 101	6 67	3 175	10 200	8 162	7 150	12 81	11 160
13 51	0 159	5 69	6 28	12 87	2 106	11 190	9 135	10 59	4 81	14 147	7 77	1 156	8 117	3 23
0 27	10 137	12 162	14 95	8 22	9 28	6 4	11 105	13 161	3 32	7 123	4 13	5 36	2 161	1 85
10 146	2 15	14 25	8 63	5 93	3 128	13 189	0 191	11 142	6 123	9 143	4 144	12 42	7 109	1 122
2 160	13 150	12 51	0 96	9 111	1 12	7 46	8 152	14 82	6 77	11 117	4 85	10 61	3 141	5 171
2 69	5 46	3 124	8 50	10 141	6 18	14 153	7 195	9 197	13 100	4 130	12 84	0 154	11 174	1 36
11 50	6 156	3 123	12 200	1 103	9 23	4 42	7 89	10 148	5 134	2 90	14 123	8 40	13 160	0 128
1 50	10 70	5 82	3 4	4 145	8 162	2 110	7 197	11 160	13 3	12 181	0 111	9 26	6 71	14 126
3 145	2 20	0 51	6 85	5 8	7 143	8 171	12 184	14 124	9 84	4 45	1 2	11 27	13 81	10 174
9 11	4 183	10 15	11 87	6 153	3 158	2 61	8 156	14 127	5 166	13 65	1 127	12 153	0 2	7 178
9 53	2 151	6 163	7 142	11 123	0 137	5 153	4 106	13 90	1 165	10 98	12 10	14 41	3 2	8 129
4 92	8 162	11 149	1 134	3 127	12 197	9 4	6 54	2 86	14 174	13 90	0 163	5 159	7 24	10 195
1 153	4 10	3 187	13 30	9 88	14 143	11 169	12 16	0 45	8 96	7 187	10 59	5 133	6 36	2 120
2 119	11 65	4 63	14 141	0 33	6 139	8 4	3 54	12 194	1 64	7 51	10 34	5 133	13 199	9 81
10 42	13 196	11 44	3 104	8 150	5 14	6 13	9 118	4 195	0 83	2 13	1 162	7 8	14 81	12 156
0 89	8 80	3 172	5 140	7 182	2 68	10 102	4 4	12 77	6 67	11 196	9 120	13 183	14 75	1 73
12 147	9 195	2 105	10 111	8 50	6 180	1 60	3 123	4 53	13 84	0 88	14 39	11 164	5 81	7 3
6 187	0 137	3 29	12 105	4 150	8 158	7 70	2 45	5 61	13 73	1 102	9 72	10 91	14 85	11 119
12 194	4 21	0 121	10 123	2 19	8 118	5 113	3 102	11 172	7 104	14 55	9 173	13 125	6 102	1 50
5 81	2 98	7 14	9 90	11 156	6 59	8 62	1 17	0 178	13 100	4 154	14 122	3 171	12 124	10 101
11 185	1 41	14 140	2 127	5 31	6 191	9 18	10 99	7 179	4 149	13 106	12 148	3 123	0 37	8 119
3 110	13 98	4 100	2 183	12 170	10 168	0 138	5 190	14 121	9 162	11 194	6 118	1 133	8 87	7 37
9 79	12 48	10 180	13 90	5 18	7 101	4 177	14 195	3 34	0 139	8 150	6 149	11 5	1 158	2 158
4 15	11 177	14 172	3 143	5 38	8 25	7 141	12 77	6 198	13 137	0 7	10 18	9 7	1 100	2 195
5 57	0 165	1 59	4 195	3 131	10 20	7 183	12 71	8 154	9 84	13 144	6 180	11 198	14 102	2 170
13 52	1 100	12 186	6 46	8 152	14 1	4 197	11 152	3 169	10 26	9 53	7 40	0 129	2 62	5 47
8 164	14 83	4 188	3 155	0 20	1 38	5 27	12 120	11 120	6 130	7 47	10 89	9 13	13 191	2 63
6 2	11 125	4 76	13 195	0 80	5 63	7 137	3 127	10 42	9 154	12 173	1 54	2 82	14 49	8 173
14 43	10 152	1 86	12 169	2 40	6 136	4 181	7 41	8 121	3 115	13 119	0 158	9 36	11 94	5 83
5 110	3 152	6 126	13 157	9 200	1 86	2 91	0 162	14 164	12 178	8 133	10 125	11 173	4 17	7 199
12 129	7 166	9 156	10 140	5 136	8 70	11 82	6 175	14 37	0 55	2 190	4 38	13 116	1 136	3 142
10 125	7 151	4 155	6 186	1 46	11 112	2 136	5 2	0 107	14 20	3 22	12 51	9 27	8 13	13 53
1 117	9 149	3 177	2 3	12 157	13 89	11 6	10 144	7 161	8 61	4 185	5 81	14 199	0 149	6 19
7 126	5 91	6 86	8 114	4 14	13 153	0 39	14 99	10 197	2 168	9 125	12 107	1 115	3 41	11 73
7 142	1 102	4 53	8 140	14 103	3 108	13 126	5 41	10 125	12 10	2 31	11 110	6 129	9 131	0 14
7 52	0 160	12 95	2 163	13 144	11 28	14 187	4 74	5 150	3 84	6 153	8 181	1 12	10 16	9 7
10 78	6 62	11 156	3 126	2 169	13 86	12 134	9 200	8 83	4 35	5 63	0 36	7 65	14 74	1 2
7 107	3 125	13 55	4 26	1 113	8 18	0 43	5 59	2 136	11 122	9 7	10 167	14 121	12 41	6 187
1 77	7 135	8 114	5 109	6 24	2 105	11 81	4 53	14 164	9 195	12 133	3 170	13 11	0 9	10 163
