50	15
14 86	11 136	12 174	5 8	3 77	0 115	4 79	8 96	1 100	2 62	10 57	9 155	7 103	6 199	13 194
2 110	0 18	12 89	13 36	5 25	11 131	9 129	10 171	14 64	7 20	4 19	1 163	8 108	3 171	6 98
0 28	9 167	14 87	8 193	10 86	12 32	3 56	5 47	11 185	7 43	13 70	6 198	2 157	4 105	1 36
14 134	1 37	2 103	12 77	8 108	10 180	6 191	3 62	11 9	0 144	9 18	5 146	7 99	4 54	13 136
7 152	5 42	11 66	1 182	8 89	6 37	3 114	13 169	12 75	2 48	9 158	10 192	4 177	0 187	14 19
14 160	11 94	8 15	5 121	13 122	12 171	1 151	7 130	9 109	0 31	2 53	4 104	10 8	3 133	6 147
13 107	5 12	14 118	11 64	4 35	1 139	3 184	0 13	8 146	10 58	12 156	2 164	9 130	7 10	6 42
9 110	3 145	13 7	14 127	10 76	6 46	2 7	8 186	4 169	5 78	1 124	11 113	0 154	12 92	7 152
6 131	4 187	3 154	0 55	10 127	14 168	8 117	11 13	13 110	5 2	1 170	2 65	7 179	12 38	9 67
6 29	2 88	4 173	11 161	3 134	8 120	9 95	14 168	12 40	5 27	10 100	13 6	1 60	7 199	0 129
2 13	4 1	5 135	13 39	6 79	1 127	9 123	11 123	10 82	7 75	0 42	14 106	8 52	12 5	3 3
11 22	0 187	7 45	4 26	10 17	5 69	13 5	8 102	9 108	3 23	12 110	14 17	2 24	6 145	1 63
8 31	14 7	4 3	7 33	10 159	1 91	13 27	0 140	6 47	5 100	9 161	3 107	2 50	12 194	11 99
13 159	7 69	12 170	6 157	1 52	10 101	2 127	8 25	0 183	4 15	11 3	5 39	3 14	14 141	9 187
6 129	3 189	4 120	5 134	13 56	9 83	12 127	0 138	7 93	14 15	2 31	11 125	10 149	1 93	8 65
11 69	14 137	7 144	13 31	1 18	4 46	6 171	10 93	3 139	0 38	5 172	9 34	12 198	8 148	2 58
13 133	8 1	6 156	10 89	1 114	5 187	3 116	0 24	7 125	2 103	14 93	12 42	9 59	11 63	4 32
9 69	1 118	3 78	5 146	14 169	11 183	6 22	10 163	4 100	7 163	8 146	12 198	0 194	2 83	13 173
5 39	11 65	4 157	14 23	0 114	10 93	6 188	13 41	12 122	8 116	3 128	9 130	7 30	1 194	2 128
14 92	7 57	0 96	2 65	1 191	5 63	4 1	3 165	12 62	10 38	13 42	9 2	8 5	6 98	11 38
9 99	10 94	1 186	13 198	14 19	11 16	8 106	3 96	6 64	5 17	0 5	2 172	7 130	4 155	12 53
2 50	5 37	4 13	14 112	6 39	3 176	0 42	11 189	9 23	10 166	8 54	13 4	1 27	12 47	7 65
2 52	10 160	9 85	8 48	0 130	5 149	3 35	11 16	13 112	7 185	12 170	1 23	4 143	14 84	6 198
4 170	1 178	8 26	12 61	5 135	2 87	10 23	3 197	14 123	13 178	0 73	11 165	7 61	9 33	6 110
0 151	1 63	7 28	4 75	13 155	2 95	5 185	11 60	3 142	14 82	8 138	9 65	10 140	12 1	6 105
3 126	6 68	13 98	8 57	11 118	4 66	9 76	0 49	2 178	5 61	14 98	12 187	7 153	10 7	1 181
