100	5
1 140	0 90	3 122	2 182	4 40
1 96	4 169	2 166	3 161	0 130
4 184	3 111	1 89	0 73	2 84
2 151	0 82	1 77	4 41	3 122
0 60	4 139	2 22	3 160	1 24
2 155	1 128	3 137	0 182	4 124
0 95	4 135	1 37	3 189	2 107
4 104	2 184	3 116	0 85	1 102
3 86	2 18	0 169	4 78	1 39
4 69	1 108	3 81	0 7	2 62
4 179	3 183	2 126	1 178	0 151
2 42	3 139	0 136	1 32	4 95
2 73	0 156	1 163	4 187	3 17
2 151	4 86	3 114	0 124	1 198
1 47	0 14	4 92	2 163	3 172
2 177	0 174	1 142	4 183	3 106
4 113	0 101	3 2	1 70	2 153
4 177	3 118	1 19	2 53	0 4
1 73	3 149	4 126	0 18	2 120
3 192	0 175	4 45	2 169	1 135
4 123	0 39	3 193	2 58	1 184
1 148	0 155	4 14	3 157	2 146
2 133	0 193	4 6	1 10	3 190
4 85	1 174	2 73	3 105	0 75
4 43	2 186	0 101	1 194	3 115
0 110	2 189	4 142	3 126	1 61
1 37	4 160	3 46	0 106	2 50
0 133	2 30	1 111	3 5	4 21
2 129	0 58	4 117	1 148	3 92
4 31	1 129	0 94	2 49	3 149
1 163	4 73	0 20	3 122	2 124
4 7	2 138	0 78	3 24	1 18
3 161	1 62	0 77	2 141	4 53
2 72	0 162	4 23	3 193	1 52
4 172	1 92	2 65	3 82	0 30
2 156	4 153	1 144	3 172	0 148
0 86	2 71	1 128	3 101	4 52
0 88	3 141	4 175	1 109	2 196
3 86	0 99	2 23	1 112	4 146
0 165	4 129	2 199	1 77	3 136
2 27	4 41	1 8	0 173	3 142
0 4	4 172	1 107	2 161	3 106
3 53	2 101	0 76	1 122	4 52
2 73	4 159	0 184	3 88	1 141
2 59	4 164	3 15	1 92	0 104
1 7	4 82	3 173	0 55	2 187
3 178	0 114	1 22	2 78	4 184
4 32	1 4	3 48	2 168	0 173
0 59	2 170	3 65	1 124	4 17
0 174	1 110	3 9	2 87	4 113
1 37	2 14	3 150	4 51	0 156
4 134	1 38	3 37	2 175	0 93
1 32	4 190	3 117	0 94	2 110
1 169	3 188	0 79	2 65	4 70
0 90	4 127	3 53	2 74	1 145
2 124	0 91	4 60	3 183	1 89
2 174	4 152	0 182	1 158	3 173
3 22	1 194	0 172	2 84	4 36
2 58	0 59	4 197	1 1	3 22
2 80	0 94	4 111	3 7	1 31
3 92	1 196	0 2	4 13	2 152
0 10	2 56	4 158	3 22	1 6
2 78	4 37	3 186	0 143	1 105
2 1	3 167	1 90	4 196	0 200
2 125	0 62	1 197	4 6	3 143
0 168	3 30	4 87	1 65	2 118
2 136	3 142	4 62	1 177	0 161
1 171	4 7	3 155	2 178	0 198
3 111	2 168	0 107	4 18	1 87
0 3	3 29	4 58	1 45	2 119
2 162	0 15	3 7	4 115	1 195
2 103	1 29	3 200	4 80	0 179
2 30	3 103	0 106	4 133	1 19
0 150	2 136	4 199	3 173	1 49
4 153	1 136	0 125	3 198	2 106
4 8	3 85	0 161	1 146	2 110
4 104	1 58	0 112	3 90	2 120
4 64	1 200	2 138	0 27	3 108
4 176	1 141	0 184	2 64	3 179
2 178	1 115	0 142	4 142	3 17
2 136	0 111	3 70	4 5	1 53
4 110	1 32	0 14	2 182	3 103
0 32	2 22	3 90	4 22	1 195
4 69	1 148	0 59	2 116	3 142
4 146	3 63	2 153	0 189	1 107
4 40	1 165	3 138	0 8	2 97
3 165	4 70	0 4	1 17	2 28
1 39	0 143	4 1	2 69	3 192
0 102	3 180	4 90	1 51	2 70
4 38	0 37	3 158	2 96	1 194
3 20	4 165	0 122	2 136	1 61
3 76	0 170	2 135	1 49	4 50
2 71	3 108	1 175	4 126	0 115
1 116	0 171	3 135	2 153	4 82
0 33	3 67	1 140	4 63	2 60
4 188	1 55	2 173	3 52	0 155
3 41	1 163	2 172	0 97	4 136
2 176	3 116	0 171	4 38	1 40
2 93	1 25	0 6	3 172	4 174
0 7	4 53	3 106	1 67	2 23
