100	5
4 113	1 57	2 138	3 74	0 47
2 157	4 169	0 17	3 115	1 151
4 137	1 69	0 87	3 27	2 134
4 134	1 107	0 98	2 168	3 55
4 149	3 110	0 187	2 18	1 5
0 71	1 134	4 12	3 103	2 120
3 158	0 4	2 159	1 139	4 183
0 163	4 75	3 106	2 110	1 5
0 145	1 29	2 19	3 40	4 84
3 153	0 158	2 128	4 120	1 198
4 114	1 177	2 75	3 7	0 123
3 18	1 165	4 10	0 27	2 162
2 75	3 167	0 77	1 129	4 81
0 110	2 129	1 123	3 194	4 105
4 65	1 120	3 56	0 42	2 8
4 100	1 120	3 63	0 41	2 64
2 52	4 114	3 159	0 174	1 97
4 186	0 33	2 35	3 10	1 149
4 87	3 162	1 108	0 121	2 103
2 158	1 178	4 151	3 64	0 43
0 172	4 95	2 185	1 51	3 126
0 35	2 178	3 144	4 190	1 146
0 38	1 124	3 175	2 134	4 194
4 101	2 11	0 145	1 200	3 81
4 124	1 123	3 14	2 37	0 59
1 123	2 121	4 164	3 176	0 151
1 66	2 41	4 139	3 36	0 113
0 163	3 118	1 31	2 139	4 15
1 61	4 13	0 168	2 78	3 156
1 152	4 36	0 68	3 31	2 168
2 152	4 39	1 71	3 169	0 131
2 38	0 2	1 175	4 62	3 51
1 28	0 9	2 198	3 69	4 169
3 145	2 140	1 62	0 138	4 71
2 167	4 17	0 148	1 134	3 41
3 174	1 200	2 19	4 99	0 132
2 63	0 139	3 118	4 175	1 114
1 57	3 11	0 57	4 45	2 116
1 96	3 187	0 174	4 168	2 29
4 180	1 154	0 146	2 62	3 84
1 79	4 139	0 195	3 4	2 94
1 130	0 7	4 23	2 104	3 144
1 36	4 197	0 51	3 135	2 178
1 54	2 104	4 21	3 164	0 173
2 4	1 78	0 176	4 81	3 37
4 94	0 63	3 3	2 80	1 83
0 59	1 70	3 50	4 93	2 176
0 20	2 126	4 93	1 194	3 127
0 63	2 119	3 156	4 180	1 47
3 23	0 193	2 194	4 111	1 123
3 104	0 57	2 21	1 70	4 127
3 170	2 9	4 31	1 146	0 97
0 105	4 118	3 182	1 76	2 109
2 189	4 173	3 30	1 161	0 150
4 179	3 164	1 183	0 11	2 170
0 23	2 119	1 163	3 123	4 160
3 57	2 55	4 167	1 85	0 192
0 85	4 125	1 53	3 161	2 76
2 51	4 11	1 23	0 66	3 128
3 87	4 170	2 50	0 170	1 36
1 80	2 130	0 55	4 114	3 185
1 17	3 33	0 152	2 36	4 139
4 69	2 171	3 159	1 55	0 150
3 166	1 89	0 43	4 32	2 155
2 107	3 107	0 53	1 161	4 18
3 45	1 92	0 73	2 120	4 3
4 90	3 66	1 130	0 87	2 95
0 81	2 120	4 21	1 28	3 147
1 192	4 199	0 72	3 70	2 35
4 188	0 72	2 165	1 94	3 108
4 84	2 81	3 162	1 5	0 149
3 195	1 53	4 134	0 147	2 5
1 177	0 161	2 28	3 91	4 175
4 106	1 187	3 28	2 36	0 128
1 22	4 59	3 161	0 66	2 151
1 89	0 91	3 36	2 69	4 38
2 76	4 143	1 155	3 36	0 192
4 1	3 49	2 10	0 15	1 17
4 29	1 32	3 89	0 29	2 107
2 113	1 46	0 19	3 29	4 75
4 70	0 58	2 74	3 21	1 195
2 185	1 55	4 82	0 55	3 71
3 193	2 96	4 160	0 171	1 3
4 80	2 90	1 26	3 194	0 199
4 43	1 2	2 98	3 190	0 187
4 92	1 195	3 103	0 127	2 49
3 32	4 27	2 37	1 146	0 59
0 139	3 100	1 117	2 48	4 142
1 199	0 147	2 17	3 128	4 186
2 134	1 171	3 170	4 73	0 178
0 146	2 42	4 187	3 198	1 172
0 181	4 190	1 31	3 12	2 158
1 77	0 1	3 137	4 67	2 22
0 22	2 139	4 52	3 10	1 83
1 116	4 174	0 34	2 164	3 101
4 156	2 146	3 184	0 143	1 97
3 108	2 94	0 171	1 34	4 29
2 190	3 112	4 186	0 91	1 87
0 188	2 116	1 50	3 23	4 137
1 60	3 88	2 187	4 66	0 181
